,station_id,station_name,station_latitude,station_longitude,nta
0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,MN15
1,79,Franklin St & W Broadway,40.71911552,-74.00666661,MN24
2,82,St James Pl & Pearl St,40.71117416,-74.00016545,MN27
3,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,BK68
4,116,W 17 St & 8 Ave,40.74177603,-74.00149746,MN13
5,119,Park Ave & St Edwards St,40.69608941,-73.97803415,BK68
6,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,BK75
7,127,Barrow St & Hudson St,40.73172428,-74.00674436,MN23
8,128,MacDougal St & Prince St,40.72710258,-74.00297088,MN24
9,137,E 56 St & Madison Ave,40.761628,-73.972924,MN17
10,143,Clinton St & Joralemon St,40.69239502,-73.99337909,BK09
11,144,Nassau St & Navy St,40.69839895,-73.98068914,BK38
12,146,Hudson St & Reade St,40.71625008,-74.0091059,MN24
13,147,Greenwich St & Warren St,40.71542197,-74.01121978,MN24
15,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,MN24
16,152,Warren St & Church St,40.71473993,-74.00910627,MN24
17,153,E 40 St & 5 Ave,40.75206231,-73.9816324,MN20
18,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,BK09
19,160,E 37 St & Lexington Ave,40.748158000000004,-73.978462,MN20
20,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,MN23
21,164,E 47 St & 2 Ave,40.75323098,-73.97032517,MN19
22,167,E 39 St & 3 Ave,40.7489006,-73.97604882,MN20
23,168,W 18 St & 6 Ave,40.73971301,-73.99456405,MN13
24,173,Broadway & W 49 St,40.76068327,-73.98452729,MN17
25,174,E 25 St & 1 Ave,40.7381765,-73.97738662,MN20
27,212,W 16 St & The High Line,40.74334935,-74.00681753,MN13
28,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,BK09
29,217,Old Fulton St,40.70277159,-73.99383605,BK38
30,218,Gallatin Pl & Livingston St,40.69028437,-73.98707105,BK38
31,223,W 13 St & 7 Ave,40.73781509,-73.99994661,MN23
33,225,W 14 St & The High Line,40.74195138,-74.00803013,MN23
